Horodateur,Country,DeploymentID,old_deploymentID,Cluster,Site,Active,deploymentBeginDate,deploymentBeginTime,deploymentEndDate,deploymentEndTime,Latitude,Longitude,Coordinates_uncertainty,GPS_device,DeviceID,Microphone_height,Microphone_direction,12. Habitat,Adresse e-mail,Comments,Score
04/02/2025 13:10:41,Netherlands,20250204_NL_6_3b425ce9,NL_6_3b425ce9,Loenderveen,Waterleidingplas D3,FALSE,04/02/2025,12:00:00,26/02/2025,14:28:00,52.217210,5.055402,1,Honour Pro 90 with Google Maps ,3b425ce9,100,South,Wetland,cynthia.barile94@gmail.com,closer to road rather than in the middle of the patch to protect the device during mowing time later in the year,
26/02/2025 15:38:11,Netherlands,20250226_NL_6_3b425ce9,NL_6b_3b425ce9,Loenderveen,Waterleidingplas D3,TRUE,26/02/2025,14:30:00,,,52.217350,5.055622,1,Honour Pro 90 with Google Maps ,3b425ce9,106,South-East,Wetland,cynthia.barile94@gmail.com,Changed direction NL_6,
04/02/2025 13:49:17,Netherlands,20250204_NL_7_fb104ba8,NL_7_fb104ba8,Loenderveen,Waterleidingplas D2,TRUE,04/02/2025,12:35:00,,,52.210090,5.049676,1,Honour Pro 90 with Google Maps ,fb104ba8,102,West,Wetland,cynthia.barile94@gmail.com,,
04/02/2025 14:24:59,Netherlands,20250204_NL_8_44e6e23b,NL_8_44e6e23b,Loenderveen,Waterleidingplas D1,FALSE,04/02/2025,13:09:00,26/02/2025,15:00:00,52.202900,5.047834,1,Honour Pro 90 with Google Maps ,44e6e23b,104,South-East,Wetland,cynthia.barile94@gmail.com,Road nearby,
26/02/2025 16:07:26,Netherlands,20250226_NL_8_44e6e23b,NL_8b_44e6e23b,Loenderveen,Waterleidingplas D1,TRUE,26/02/2025,15:05:00,,,52.202900,5.047834,1,Honour Pro 90 with Google Maps ,44e6e23b,104,East,Wetland,cynthia.barile94@gmail.com,Changed direction NL_8,
06/02/2025 11:36:40,Netherlands,20250206_NL_9_438d2740,NL_9_438d2740,Hoge Veluwe,Noordoostelijk van Schaarsbergen X1,TRUE,06/02/2025,10:30:00,,,52.0369171,5.8389709,1,Honour Pro 90 with Google Maps ,438d2740,101,East,Forest,cynthia.barile94@gmail.com,,
15/03/2024 10:32:50,Norway,18991230_NO_1_c27ff1cf,NO_1_c27ff1cf,Trondelag,Auran,FALSE,15/03/2024,17:30:00,30/01/2025,17:00:00,63.496787035837770,10.786634981632233,1,GPSMAP 66sr,c27ff1cf,,,,julia.wiel@nina.no,,
24/04/2024 15:47:01,Norway,18991230_NO_2_212924f2,NO_2_212924f2,Trondelag,Fossvatna,FALSE,24/04/2024,10:30:00,10/03/2025,16:30:00,63.346242019906640,11.740635959431531,1,GPSMAP 66sr,212924f2,,,,julia.wiel@nina.no,No connection,
15/05/2024 13:53:19,Norway,18991230_NO_3_2efa67ae,NO_3_2efa67ae,Trondelag,Roroes,TRUE,15/05/2024,12:57:00,,,62.585575003176928,11.318367999047039,1,GPSMAP 66sr,2efa67ae,,,,julia.wiel@nina.no,Boreal owl singing every night from ~22-23pm to 5am; from 19.04.2025,
16/05/2024 11:15:03,Norway,18991230_NO_4_d2b4d01e,NO_4_d2b4d01e,Lillehammer,Gropmarka1,FALSE,16/05/2024,09:20:00,27/02/0205,13:00:00,61.152236033231013,10.544023979455233,1,GPSMAP 66sr,d2b4d01e,,,,julia.wiel@nina.no,,
16/05/2024 14:22:08,Norway,18991230_NO_5_9b099eff,NO_5_9b099eff,Lillehammer,Svartevjua,FALSE,16/05/2024,12:25:00,26/02/2025,12:00:00,61.139539964497089,10.394325032830238,1,GPSMAP 66sr,9b099eff,,,,julia.wiel@nina.no,,
21/05/2024 17:31:34,Norway,18991230_NO_6_18bff2d2,NO_6_18bff2d2,Lista,Listafuglestasjon,FALSE,21/05/2024,15:30:00,25/03/2025,10:00:00,58.109723031520844,6.568680005148054,1,GPSMAP 66sr,18bff2d2,,,,julia.wiel@nina.no,,
22/05/2024 08:23:07,Norway,18991230_NO_7_27dd31af,NO_7_27dd31af,Lista,Slevdalsvannet,FALSE,22/05/2024,06:20:00,25/03/2025,14:00:00,58.104653991758823,6.605580998584628,1,GPSMAP 66sr,27dd31af,,,,julia.wiel@nina.no,,
24/05/2024 17:50:45,Norway,18991230_NO_8_1717d9df,NO_8_1717d9df,Jaeren,Maleneset,FALSE,24/05/2024,15:50:00,24/03/2025,12:30:00,58.754812991246581,5.532335964962840,1,GPSMAP 66sr,1717d9df,,,,julia.wiel@nina.no,,
25/05/2024 10:10:55,Norway,18991230_NO_9_fbe52d2c,NO_9_fbe52d2c,Jaeren,OrreNHaugen,FALSE,25/05/2024,08:10:00,24/03/2025,14:00:00,58.737755,5.522213,1,GPSMAP 66sr,fbe52d2c,,,,julia.wiel@nina.no,,
26/05/2024 15:14:05,Norway,18991230_NO_10_a1d0792e,NO_10_a1d0792e,Utsira,Sjoarskogen,FALSE,26/05/2024,13:20:00,23/03/2025,10:00:00,59.309662040323019,4.892942011356354,1,GPSMAP 66sr,a1d0792e,,,,julia.wiel@nina.no,,
26/05/2024 16:31:55,Norway,18991230_NO_11_6e4b733f,NO_11_6e4b733f,Utsira,Austre Plantning,FALSE,26/05/2024,14:40:00,23/03/2025,13:00:00,59.310595029965043,4.903998998925090,1,GPSMAP 66sr,6e4b733f,215,South-West,,julia.wiel@nina.no,,
26/05/2024 17:45:47,Norway,18991230_NO_12_d642707c,NO_12_d642707c,Utsira,Svehojen,TRUE,26/05/2024,15:45:00,,,59.302645968273282,4.900137037038804,1,GPSMAP 66sr,d642707c,240,South-West,Forest,julia.wiel@nina.no,,
26/05/2024 19:13:18,Norway,18991230_NO_13_cc849698,NO_13_cc849698,Utsira,Herberg,FALSE,26/05/2024,17:15:00,23/03/2025,08:00:00,59.308575997129083,4.880926972255112,1,GPSMAP 66sr,cc849698,,,,julia.wiel@nina.no,No SIM card,
22/01/2025 14:08:36,Norway,18991230_NO_19_889bef22,NO_19_889bef22,Trondelag,Leinora,TRUE,16/01/2025,12:27:00,,,63.341284040361643,10.246161986142395,1,GPSMAP 66sr,889bef22,205,South,Scrubland,julia.wiel@nina.no,Test for detectability from 12:50 to 14:00 UTC,
23/01/2025 11:25:48,Norway,18991230_NO_20_1b36a79e,NO_20_1b36a79e,Trondelag,Austraatt,TRUE,23/01/2025,10:30:00,,,63.707234999164939,9.716106019914150,1,GPSMAP 66sr,1b36a79e,214,North,Forest,julia.wiel@nina.no,Long eared owl some years,
23/01/2025 13:05:52,Norway,18991230_NO_21_22f9afc5,NO_21_22f9afc5,Trondelag,GrandefjaeraS,TRUE,23/01/2025,11:20:00,,,63.667164975777276,9.566051010042427,1,GPSMAP 66sr,22f9afc5,225,South,Scrubland,julia.wiel@nina.no,Coastal windy,
23/01/2025 15:01:27,Norway,18991230_NO_22_dc98ad82,NO_22_dc98ad82,Trondelag,GrandefjaeraN,TRUE,23/01/2025,14:00:00,,,63.711335007101297,9.539777012541890,1,GPSMAP 66sr,dc98ad82,222,South-East,Grassland,julia.wiel@nina.no,Self-noise when sun on the solar panel. Changed the battery box. Need to check data at 14:00 utc,
23/01/2025 18:26:47,Norway,18991230_NO_23_8ac55f2f,NO_23_8ac55f2f,Trondelag,Litlvatnet,TRUE,23/01/2025,17:30:00,,,63.614049023017287,9.662753026932478,1,GPSMAP 66sr,8ac55f2f,210,East,Forest,julia.wiel@nina.no,,
30/01/2025 11:32:43,Norway,18991230_NO_24_4cb16fa2,NO_24_4cb16fa2,Trondelag,Tautra farm,TRUE,30/01/2025,10:30:00,,,63.567120004445314,10.589340990409257,1,GPSMAP 66sr,4cb16fa2,310,East,Forest,julia.wiel@nina.no,,
30/01/2025 15:22:26,Norway,18991230_NO_25_179e153c,NO_25_179e153c,Trondelag,Tautra fugletarn,TRUE,30/01/2025,14:20:00,,,63.572509987279773,10.613457988947630,1,GPSMAP 66sr,179e153c,255,East,Wetland,julia.wiel@nina.no,,
30/01/2025 17:49:50,Norway,18991230_NO_1_eb289bed,NO_1_eb289bed,Trondelag,Auran,TRUE,30/01/2025,17:45:00,,,63.495855974033475,10.787670984864233,1,GPSMAP 66sr,eb289bed,220,West,Forest,julia.wiel@nina.no,New place. Part of the deployment NO_1_c27ff1cf Auran,
24/02/2025 12:23:42,Norway,18991230_NO_26_11d0c4a2,NO_26_11d0c4a2,Hamar,Rotlia naturreservat,TRUE,24/02/2025,11:40:00,,,60.642988979816437,11.152370022609830,1,GPSMAP 66sr,11d0c4a2,300,East,Forest,julia.wiel@nina.no,Microphone height not precise,
24/02/2025 14:39:20,Norway,18991230_NO_27_932ef8d5,NO_27_932ef8d5,Hamar,RotliaN,TRUE,24/02/2025,13:35:00,,,60.654233973473310,11.151743978261948,1,GPSMAP 66sr,932ef8d5,230,North,Forest,julia.wiel@nina.no,4G didn’t connect ,
24/02/2025 16:20:12,Norway,18991230_NO_28_3e481576,NO_28_3e481576,Hamar,Nokleby,TRUE,24/02/2025,15:17:00,,,60.690580001100898,11.142059024423361,1,GPSMAP 66sr,3e481576,230,South-West,Forest,julia.wiel@nina.no,,
25/02/2025 17:22:56,Norway,18991230_NO_29_1920e8d5,NO_29_1920e8d5,Hamar,Valetjerne,TRUE,25/02/2025,16:20:00,,,60.708191972225904,11.220183977857232,1,GPSMAP 66sr,1920e8d5,250,South,Pond and forest,julia.wiel@nina.no,Bad 4G connection ,
25/02/2025 19:14:21,Norway,18991230_NO_30_6a306e76,NO_30_6a306e76,Hamar,Feltstasjon,TRUE,25/02/2025,18:15:00,,,60.764084011316299,11.230091974139214,1,GPSMAP 66sr,6a306e76,235,North,Grassland,julia.wiel@nina.no,Cow field ,
26/02/2025 10:50:25,Norway,18991230_NO_31_d51cd90c,NO_31_d51cd90c,Lillehammer,Gausa,TRUE,26/02/2025,09:48:00,,,61.157521996647120,10.366295026615262,1,GPSMAP 66sr,d51cd90c,250,North,Forest,julia.wiel@nina.no,Edge of farmland,
26/02/2025 13:01:15,Norway,18991230_NO_5_2e9f4594,NO_5_2e9f4594,Lillehammer,Svartevjua,TRUE,26/02/2025,12:50:00,,,61.139348018914461,10.394027978181837,1,GPSMAP 66sr,2e9f4594,230,North-West,Forest,julia.wiel@nina.no,Moved site to get more sun (20m away),
27/02/2025 14:42:21,Norway,18991230_NO_4_94dc95d8,NO_4_94dc95d8,Lillehammer,Gropmarka1,TRUE,27/02/2025,13:40:00,,,61.152056995779269,10.544196981936693,1,GPSMAP 66sr,94dc95d8,230,East,Forest,julia.wiel@nina.no,Redeployed ins the sun. Too much snow for height measurement (only estimate),
27/02/2025 18:50:28,Norway,18991230_NO_32_20069731,NO_32_20069731,Lillehammer,Gropmarka2N,TRUE,27/02/2025,17:45:00,,,61.175092980265617,10.506743034347892,1,GPSMAP 66sr,20069731,230,South-East,Wetland,julia.wiel@nina.no,Height not precise due to snow,
27/02/2025 19:55:50,Norway,18991230_NO_33_2b0e29ef,NO_33_2b0e29ef,Lillehammer,Gropmarka2S,TRUE,27/02/2025,18:50:00,,,61.170501038432121,10.505206966772676,1,GPSMAP 66sr,2b0e29ef,250,North-West,Wetland,julia.wiel@nina.no,Height bad,
28/02/2025 10:46:52,Norway,18991230_NO_34_3c94309d,NO_34_3c94309d,Hamar,Akersvika,TRUE,28/02/2025,09:45:00,,,60.790938958525658,11.142996959388256,1,GPSMAP 66sr,3c94309d,230,South,Wetland,julia.wiel@nina.no,,
10/03/2025 17:25:00,Norway,18991230_NO_2_5c75764d,NO_2_5c75764d,Trondelag,Fossvatna,TRUE,24/04/2024,10:30:00,,,63.346242019906640,11.740635959431531,1,GPSMAP 66sr,5c75764d,,,,julia.wiel@nina.no,No connection,
23/03/2025 09:27:58,Norway,18991230_NO_13_e848f182,NO_13_e848f182,Utsira,Herberg,TRUE,23/03/2025,08:25:00,,,59.308575997129083,4.880926972255112,1,GPSMAP 66sr,e848f182,254,East,Forest,julia.wiel@nina.no,Changed Bugg for V3,
23/03/2025 11:51:42,Norway,18991230_NO_10_93be5da2,NO_10_93be5da2,Utsira,Sjoarskogen,TRUE,23/03/2025,10:50:00,,,59.308609021827579,4.894314967095852,1,GPSMAP 66sr,93be5da2,190,West,Forest,julia.wiel@nina.no,Moved because property error. Same forest but on the edge. Turned towards first location,
23/03/2025 14:15:21,Norway,18991230_NO_35_c27ff1cf,NO_35_c27ff1cf,Utsira,Gjenvinningstasjon,TRUE,23/03/2025,13:10:00,,,59.308244995772839,4.905677977949382,1,GPSMAP 66sr,c27ff1cf,135,South,Coastal,julia.wiel@nina.no,,
23/03/2025 15:07:00,Norway,18991230_NO_11_3b0c3815,NO_11_3b0c3815,Utsira,Austre Plantning,TRUE,23/03/2025,14:00:00,,,59.310595029965043,4.903998998925090,1,GPSMAP 66sr,3b0c3815,215,South-West,Boulderland,julia.wiel@nina.no,Changed Bugg for V3,
24/03/2025 09:43:17,Norway,18991230_NO_36_c7289269,NO_36_c7289269,Jaeren,Grudavatnet,TRUE,24/03/2025,08:40:00,,,58.797811986878514,5.632864991202952,1,GPSMAP 66sr,c7289269,310,West,Wetland,julia.wiel@nina.no,,
24/03/2025 10:44:21,Norway,18991230_NO_37_5bc534f0,NO_37_5bc534f0,Jaeren,Alvevatnet,TRUE,24/03/2025,09:50:00,,,58.812690032646053,5.572383021935822,1,GPSMAP 66sr,5bc534f0,185,West,Wetland,julia.wiel@nina.no,,
24/03/2025 11:54:54,Norway,18991230_NO_38_29eb3e1b,NO_38_29eb3e1b,Jaeren,Bore,TRUE,24/03/2025,10:50:00,,,58.791120965033770,5.556557988747954,1,GPSMAP 66sr,29eb3e1b,240,South,Grassland,julia.wiel@nina.no,Farm an bushes. Coastal area,
24/03/2025 14:29:12,Norway,18991230_NO_8_3e07ce56,NO_8_3e07ce56,Jaeren,Maleneset,TRUE,24/03/2025,13:30:00,,,58.754812991246581,5.532335964962840,1,GPSMAP 66sr,3e07ce56,210,South-East,Grassland,julia.wiel@nina.no,Changed device only ,
24/03/2025 16:23:20,Norway,18991230_NO_39_941752da,NO_39_941752da,Jaeren,Orre,TRUE,24/03/2025,15:15:00,,,58.744047023355961,5.534460023045540,1,GPSMAP 66sr,941752da,230,West,Grassland,julia.wiel@nina.no,,
25/03/2025 12:11:03,Norway,18991230_NO_6_b91151a3,NO_6_b91151a3,Lista,Listafuglestasjon,TRUE,25/03/2025,11:00:00,,,58.109723031520844,6.568680005148054,1,GPSMAP 66sr,b91151a3,185,West,Scrubland,julia.wiel@nina.no,Changed battery and bugg for v3,
25/03/2025 13:07:19,Norway,18991230_NO_40_b91151a3,NO_40_b91151a3,Lista,Steinodden,TRUE,25/03/2025,12:10:00,,,58.114125039428473,6.570134013891220,1,GPSMAP 66sr,cdfb50bf,210,South,Forest and scrubland,julia.wiel@nina.no,,
25/03/2025 14:50:39,Norway,18991230_NO_7_5a6ba752,NO_7_5a6ba752,Lista,Slevdalsvannet,TRUE,25/03/2025,14:50:00,,,58.104653991758823,6.605580998584628,1,GPSMAP 66sr,5a6ba752,170,South,Wetland,julia.wiel@nina.no,Battery changes and bugg for v3,
25/03/2025 17:41:12,Norway,18991230_NO_41_d88bc03a,NO_41_d88bc03a,Lista,Havnehagen,TRUE,25/03/2025,17:40:00,,,58.107522027567029,6.696173027157784,1,GPSMAP 66sr,d88bc03a,215,East,Forest,julia.wiel@nina.no,,
25/03/2025 19:26:33,Norway,18991230_NO_42_7e4b3d4f,NO_42_7e4b3d4f,Lista,Listastrendene,TRUE,25/03/2024,19:25:00,,,58.067098958417773,6.804393958300352,1,GPSMAP 66sr,7e4b3d4f,225,South-East,Scrubland,julia.wiel@nina.no,,
06/05/2025 14:37:35,Norway,18991230_NO_43_6adeac32,NO_43_6adeac32,Pasvik,Loken,TRUE,06/05/2025,12:34:00,,,69.461403982713819,29.999749017879367,1,GPSMAP 66sr,6adeac32,220,East,Forest,julia.wiel@nina.no,,
06/05/2025 15:49:26,Norway,18991230_NO_44_f1c1b1bb,NO_44_f1c1b1bb,Pasvik,Skoytnes ,TRUE,06/05/2025,12:35:00,,,69.418217986822128,29.964594980701804,1,GPSMAP 66sr,f1c1b1bb,225,North,Forest,julia.wiel@nina.no,In open are pointing to beerch forest,
07/05/2025 11:27:46,Norway,18991230_NO_45_826cbf6b,NO_45_826cbf6b,Varanger,Jakobselv skispor,TRUE,07/05/2025,09:25:00,,,70.132039971649647,29.338135980069637,1,GPSMAP 66sr,826cbf6b,190,North,Scrubland,julia.wiel@nina.no,"Data in uploaded in test folder!!! | Height of snow (from ground, at least 250cm) ",
07/05/2025 12:42:41,Norway,18991230_NO_46_eb07ec0c,NO_46_eb07ec0c,Varanger,Jakobselv river,TRUE,07/05/2025,10:40:00,,,70.120857004076242,29.327590037137266,1,GPSMAP 66sr,eb07ec0c,240,South-West,Scrubland,julia.wiel@nina.no,Some snow height imprecise. LED power dead but recorder working well,
07/05/2025 14:47:36,Norway,18991230_NO_47_4c5b600e,NO_47_4c5b600e,Varanger,Varangerbotn naturreservat,TRUE,07/05/2025,12:45:00,,,70.169902034103870,28.575532995164394,1,GPSMAP 66sr,4c5b600e,200,North-East,Scrubland,julia.wiel@nina.no,Snow height,
07/05/2025 15:48:47,Norway,18991230_NO_48_bc777b7b,NO_48_bc777b7b,Varanger,Varangerbotn river,TRUE,07/05/2025,13:45:00,,,70.153282983228564,28.559834025800228,1,GPSMAP 66sr,bc777b7b,150,South,Scrubland,julia.wiel@nina.no,Snow height ,
07/05/2025 17:58:15,Norway,18991230_NO_49_77d75946,NO_49_77d75946,Varanger,Neiden,TRUE,07/05/2025,15:55:00,,,69.707869989797473,29.522906988859177,1,GPSMAP 66sr,77d75946,195,South-West,Scrubland,julia.wiel@nina.no,,
